mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_features,param_model__n_estimators,param_model__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.1268468141555786,0.002907279075529899,0.005734157562255859,0.00025784679544366276,21,10,,"{'model__max_features': 21, 'model__n_estimators': 10}",-1.3335522388059697,-1.787180597014925,-2.6364298507462682,-2.8548409090909086,-1.5727424242424255,-1.6164590909090908,-1.0619954545454522,-1.3620045454545444,-2.100475757575758,-2.110836363636362,-1.8436517232021703,0.549519452299404,681,-0.37702130872483214,-0.39697298657718116,-0.3835120805369127,-0.3368125628140703,-0.3323743718592966,-0.338331323283082,-0.356284757118928,-0.32713969849246216,-0.3417497487437186,-0.34477353433835833,-0.3534972372488842,0.022837620017681595
0.23669605255126952,0.01019760882226665,0.006809639930725098,0.0002787368534700096,21,20,,"{'model__max_features': 21, 'model__n_estimators': 20}",-1.16931343283582,-1.6743910447761163,-2.545111940298508,-2.810750000000001,-1.5021784090909107,-1.671115530303029,-1.1472810606060608,-1.3190132575757578,-2.0092746212121204,-1.8995621212121208,-1.7747991417910445,0.5291887507308107,483,-0.3082950503355707,-0.314095260067114,-0.3085465184563756,-0.2889119346733667,-0.29548094639865996,-0.3077345477386933,-0.3035458961474035,-0.2831674623115574,-0.2743491206030148,-0.3033566582914568,-0.29874833950232127,0.012219629267071895
0.341471529006958,0.003172071379715118,0.00846397876739502,0.00039793031156696706,21,30,,"{'model__max_features': 21, 'model__n_estimators': 30}",-1.057437479270314,-1.663406135986733,-2.304459038142622,-2.7482050505050584,-1.4830200336700337,-1.6364220538720549,-1.0551823232323225,-1.2572627946127937,-2.0286255892255856,-1.9423353535353542,-1.7176355852052871,0.5200836330597901,390,-0.2793011931394485,-0.28680497762863527,-0.27692828113348245,-0.26632131025497846,-0.2702273590173091,-0.29203186301879747,-0.29219717104038706,-0.26911176251628494,-0.26481256281407045,-0.2803898753024381,-0.2778126355865832,0.00966383784071914
0.45121572017669676,0.006005334668839066,0.009592342376708984,0.0002314396285253059,21,40,,"{'model__max_features': 21, 'model__n_estimators': 40}",-1.1141365671641779,-1.5933237873134332,-2.3261719216417935,-2.7226529356060656,-1.5652116477272733,-1.6316256628787886,-1.076968844696969,-1.2649212121212148,-1.8820508522727248,-1.8413875000000008,-1.7018450931422442,0.494563372557199,388,-0.2585912961409397,-0.26596165058724847,-0.2553281774328864,-0.258146608040201,-0.2520730737018433,-0.27641844639866014,-0.2817966080402012,-0.2527395414572865,-0.2545047843383586,-0.2614721733668344,-0.261703235950446,0.009624703619821078
0.556932783126831,0.00532902672153374,0.011119484901428223,0.0004273500732410935,21,50,,"{'model__max_features': 21, 'model__n_estimators': 50}",-1.1345128955223878,-1.6514304477611976,-2.2885650746268666,-2.6991226666666717,-1.5824228484848497,-1.5671033333333344,-1.1060227878787874,-1.27179460606061,-1.8902510909090897,-1.8464815151515155,-1.7037707266395312,0.4787436102361772,389,-0.258246758389262,-0.26151518791946327,-0.24868642281879252,-0.24869964489112206,-0.2472942713567845,-0.26834927303182604,-0.27843862646566175,-0.25761004355108874,-0.24257144388609722,-0.2514779296482413,-0.2562889601958339,0.010375777224364571
0.6718073606491088,0.005586146873894567,0.014560365676879882,0.0025987318439598893,21,60,,"{'model__max_features': 21, 'model__n_estimators': 60}",-1.0879438640132673,-1.6203252487562223,-2.2050281509121064,-2.697261153198656,-1.6912650673400664,-1.5308007575757587,-1.0829634259259253,-1.2636446548821603,-1.9326641835016825,-1.8046174663299657,-1.6916513972435812,0.479037500514003,382,-0.26159430462341515,-0.2569808025727071,-0.24333385533184262,-0.24225760748185343,-0.24893396612693106,-0.26628980085613285,-0.2726630792853157,-0.2542860552763816,-0.245225665363856,-0.25307036571747626,-0.25446355026359113,0.00958649941781725
0.7809277057647706,0.0036654546351635384,0.014584994316101075,0.001031749405222887,21,70,,"{'model__max_features': 21, 'model__n_estimators': 70}",-1.120783643009441,-1.616606518428271,-2.171267560158392,-2.68701410018553,-1.6331380643166349,-1.5268988249845412,-1.0633688311688285,-1.2356369511440974,-1.9534069573283868,-1.7482305813234393,-1.6756352032047563,0.47483762187408957,379,-0.2638896144363785,-0.2573530954663751,-0.2469521298452274,-0.23263975318770672,-0.24713138139677998,-0.25615445937168885,-0.2630804191023146,-0.24810491915359087,-0.23507758862338896,-0.2433605749837626,-0.24937439355672134,0.010204404018699166
0.8900981664657592,0.006031047998198259,0.01677532196044922,0.0011908756421460352,21,80,,"{'model__max_features': 21, 'model__n_estimators': 80}",-1.1233918143656687,-1.5971753264925428,-2.170075326492537,-2.6197713778409084,-1.6252527225378812,-1.5116093039772733,-1.0433295928030277,-1.231632646780307,-1.9655685842803048,-1.7027568655303014,-1.659056356110075,0.46426638666776116,371,-0.2617033740562082,-0.2522639917156046,-0.24212443896812133,-0.22998635626046834,-0.24657961945142406,-0.2526065221943052,-0.2605324120603021,-0.2425557186976549,-0.2310824565536013,-0.23815873900753823,-0.2457593628965228,0.010525045798259615
1.0026847839355468,0.01031380210921946,0.01907033920288086,0.0029543163188340943,21,90,,"{'model__max_features': 21, 'model__n_estimators': 90}",-1.080890362999814,-1.6006322461765283,-2.1880070020269033,-2.616471473999251,-1.6239427796483377,-1.5345753086419747,-1.0074095211372964,-1.2239071268237947,-1.9520910774410785,-1.623859408903852,-1.645178630779883,0.4743449156566584,282,-0.2622722263650681,-0.25139282459193024,-0.24391377703206588,-0.2278948528651479,-0.24103282668486428,-0.246798599995864,-0.25557160493827225,-0.23989620737432002,-0.22698026966106222,-0.22867364187191125,-0.24244268313805062,0.011469990674779032
1.1069544315338136,0.010479213343548954,0.021371340751647948,0.004146948017093282,21,100,,"{'model__max_features': 21, 'model__n_estimators': 100}",-1.0556972835820877,-1.5852124626865725,-2.215953104477614,-2.6428979545454503,-1.6162689545454594,-1.5272821060606048,-1.0039821060606027,-1.2207997727272748,-1.9304335454545487,-1.5708683484848467,-1.6369395638625062,0.4862603077991433,241,-0.25804903523489986,-0.2453916946308728,-0.2408811409395976,-0.22727617587939583,-0.24048270854271284,-0.24750832663316533,-0.2545860100502518,-0.23944012730318212,-0.22632632328308183,-0.22982074371859326,-0.2409762286215753,0.01033556842503816
