param,rmts
"{'model__max_features': 21, 'model__n_estimators': 920}",1.2826976687541496
"{'model__max_features': 21, 'model__n_estimators': 930}",1.282850755828949
"{'model__max_features': 21, 'model__n_estimators': 940}",1.2828652749801528
"{'model__max_features': 21, 'model__n_estimators': 950}",1.2827745856020165
"{'model__max_features': 21, 'model__n_estimators': 960}",1.2826755188131476
"{'model__max_features': 21, 'model__n_estimators': 970}",1.2825787417553798
"{'model__max_features': 21, 'model__n_estimators': 980}",1.2823957898852378
"{'model__max_features': 21, 'model__n_estimators': 990}",1.2825718764522316
"{'model__max_features': 21, 'model__n_estimators': 1000}",1.2824082293570815
"{'model__max_features': 10, 'model__n_estimators': 10}",1.4277658194492884
"{'model__max_features': 10, 'model__n_estimators': 20}",1.3530450533668583
"{'model__max_features': 10, 'model__n_estimators': 30}",1.320576548985228
"{'model__max_features': 10, 'model__n_estimators': 40}",1.312803778084286
"{'model__max_features': 10, 'model__n_estimators': 50}",1.3037995831618134
"{'model__max_features': 10, 'model__n_estimators': 60}",1.3006489968060595
"{'model__max_features': 10, 'model__n_estimators': 70}",1.302703370724805
"{'model__max_features': 10, 'model__n_estimators': 80}",1.3021332572971018
"{'model__max_features': 10, 'model__n_estimators': 90}",1.2926759978561462
"{'model__max_features': 10, 'model__n_estimators': 100}",1.296113348083785
"{'model__max_features': 10, 'model__n_estimators': 110}",1.2926360117396791
"{'model__max_features': 10, 'model__n_estimators': 120}",1.2913011367770686
"{'model__max_features': 10, 'model__n_estimators': 130}",1.291067081996799
"{'model__max_features': 10, 'model__n_estimators': 140}",1.2856121754158563
"{'model__max_features': 10, 'model__n_estimators': 150}",1.2853170372306137
"{'model__max_features': 10, 'model__n_estimators': 160}",1.2863953663002825
"{'model__max_features': 10, 'model__n_estimators': 170}",1.2841635239167084
"{'model__max_features': 10, 'model__n_estimators': 180}",1.2819951063059996
"{'model__max_features': 10, 'model__n_estimators': 190}",1.283798437601537
"{'model__max_features': 10, 'model__n_estimators': 200}",1.281170994932101
"{'model__max_features': 10, 'model__n_estimators': 210}",1.2803497236618038
"{'model__max_features': 10, 'model__n_estimators': 220}",1.279014246496213
"{'model__max_features': 10, 'model__n_estimators': 230}",1.2788743784784542
"{'model__max_features': 10, 'model__n_estimators': 240}",1.2811692302826736
"{'model__max_features': 10, 'model__n_estimators': 250}",1.2806686995878447
"{'model__max_features': 10, 'model__n_estimators': 260}",1.281174290826055
"{'model__max_features': 10, 'model__n_estimators': 270}",1.2803550055103208
"{'model__max_features': 10, 'model__n_estimators': 280}",1.2798798430245437
"{'model__max_features': 10, 'model__n_estimators': 290}",1.2782185973374705
"{'model__max_features': 10, 'model__n_estimators': 300}",1.277150957530085
"{'model__max_features': 10, 'model__n_estimators': 310}",1.2772027428753772
"{'model__max_features': 10, 'model__n_estimators': 320}",1.2755770721542168
"{'model__max_features': 10, 'model__n_estimators': 330}",1.2768754139735592
"{'model__max_features': 10, 'model__n_estimators': 340}",1.2783122929158461
"{'model__max_features': 10, 'model__n_estimators': 350}",1.2780417574455616
"{'model__max_features': 10, 'model__n_estimators': 360}",1.2787281964833914
"{'model__max_features': 10, 'model__n_estimators': 370}",1.2778491269970365
"{'model__max_features': 10, 'model__n_estimators': 380}",1.278727762449042
"{'model__max_features': 10, 'model__n_estimators': 390}",1.2798015175486728
"{'model__max_features': 10, 'model__n_estimators': 400}",1.2793824656940047
"{'model__max_features': 10, 'model__n_estimators': 410}",1.2801979396767407
"{'model__max_features': 10, 'model__n_estimators': 420}",1.280593669230466
"{'model__max_features': 10, 'model__n_estimators': 430}",1.2798366029786743
"{'model__max_features': 10, 'model__n_estimators': 440}",1.2797592067488253
"{'model__max_features': 10, 'model__n_estimators': 450}",1.2800041012263577
"{'model__max_features': 10, 'model__n_estimators': 460}",1.280318388828462
"{'model__max_features': 10, 'model__n_estimators': 470}",1.2803165177589335
"{'model__max_features': 10, 'model__n_estimators': 480}",1.280124250290423
"{'model__max_features': 10, 'model__n_estimators': 490}",1.2797664537499138
"{'model__max_features': 10, 'model__n_estimators': 500}",1.2804592855203063
"{'model__max_features': 10, 'model__n_estimators': 510}",1.2794170464160166
"{'model__max_features': 10, 'model__n_estimators': 520}",1.2778023186846703
"{'model__max_features': 10, 'model__n_estimators': 530}",1.2786256635718922
"{'model__max_features': 10, 'model__n_estimators': 540}",1.2794688761925779
"{'model__max_features': 10, 'model__n_estimators': 550}",1.279901553956879
"{'model__max_features': 10, 'model__n_estimators': 560}",1.279876115592632
"{'model__max_features': 10, 'model__n_estimators': 570}",1.2796593215473662
"{'model__max_features': 10, 'model__n_estimators': 580}",1.279260060110615
"{'model__max_features': 10, 'model__n_estimators': 590}",1.2801135832736166
"{'model__max_features': 10, 'model__n_estimators': 600}",1.280213615492662
"{'model__max_features': 10, 'model__n_estimators': 610}",1.280815923575932
"{'model__max_features': 10, 'model__n_estimators': 620}",1.2805377888375589
"{'model__max_features': 10, 'model__n_estimators': 630}",1.279572974886389
"{'model__max_features': 10, 'model__n_estimators': 640}",1.2796031161268004
"{'model__max_features': 10, 'model__n_estimators': 650}",1.279404119090481
"{'model__max_features': 10, 'model__n_estimators': 660}",1.2790384178121346
"{'model__max_features': 10, 'model__n_estimators': 670}",1.2791776111610835
"{'model__max_features': 10, 'model__n_estimators': 680}",1.2791004285532046
"{'model__max_features': 10, 'model__n_estimators': 690}",1.2783283102422247
"{'model__max_features': 10, 'model__n_estimators': 700}",1.278226971977493
"{'model__max_features': 10, 'model__n_estimators': 710}",1.277984294679924
"{'model__max_features': 10, 'model__n_estimators': 720}",1.278496019733615
"{'model__max_features': 10, 'model__n_estimators': 730}",1.2782801677008493
"{'model__max_features': 10, 'model__n_estimators': 740}",1.2779491639313547
"{'model__max_features': 10, 'model__n_estimators': 750}",1.2787804733680872
"{'model__max_features': 10, 'model__n_estimators': 760}",1.2786617390187507
"{'model__max_features': 10, 'model__n_estimators': 770}",1.279190869105939
"{'model__max_features': 10, 'model__n_estimators': 780}",1.2788659953467592
"{'model__max_features': 10, 'model__n_estimators': 790}",1.2794318273564127
"{'model__max_features': 10, 'model__n_estimators': 800}",1.2787160492540512
"{'model__max_features': 10, 'model__n_estimators': 810}",1.2794981412689774
"{'model__max_features': 10, 'model__n_estimators': 820}",1.2788639703702602
"{'model__max_features': 10, 'model__n_estimators': 830}",1.2782365931200192
"{'model__max_features': 10, 'model__n_estimators': 840}",1.2779002550202523
"{'model__max_features': 10, 'model__n_estimators': 850}",1.2782358458831211
"{'model__max_features': 10, 'model__n_estimators': 860}",1.2777912611703002
"{'model__max_features': 10, 'model__n_estimators': 870}",1.277315700604772
"{'model__max_features': 10, 'model__n_estimators': 880}",1.2771410078095538
"{'model__max_features': 10, 'model__n_estimators': 890}",1.2767390753024896
"{'model__max_features': 10, 'model__n_estimators': 900}",1.2760627013553898
"{'model__max_features': 10, 'model__n_estimators': 910}",1.2758329769519157
"{'model__max_features': 10, 'model__n_estimators': 920}",1.275473376999461
"{'model__max_features': 10, 'model__n_estimators': 930}",1.2757705685545895
"{'model__max_features': 10, 'model__n_estimators': 940}",1.2758195271408448
"{'model__max_features': 10, 'model__n_estimators': 950}",1.275995338830309
"{'model__max_features': 10, 'model__n_estimators': 960}",1.2755033579700734
"{'model__max_features': 10, 'model__n_estimators': 970}",1.2754679357085148
"{'model__max_features': 10, 'model__n_estimators': 980}",1.27545935336393
"{'model__max_features': 10, 'model__n_estimators': 990}",1.2756937233473304
"{'model__max_features': 10, 'model__n_estimators': 1000}",1.275859293270451
"{'model__max_features': 7, 'model__n_estimators': 10}",1.5082738793003234
"{'model__max_features': 7, 'model__n_estimators': 20}",1.4100698011758674
"{'model__max_features': 7, 'model__n_estimators': 30}",1.3848129171183594
"{'model__max_features': 7, 'model__n_estimators': 40}",1.3729853563409995
"{'model__max_features': 7, 'model__n_estimators': 50}",1.3518800518636507
"{'model__max_features': 7, 'model__n_estimators': 60}",1.3447426754154763
"{'model__max_features': 7, 'model__n_estimators': 70}",1.335467247771543
"{'model__max_features': 7, 'model__n_estimators': 80}",1.3349442161046943
"{'model__max_features': 7, 'model__n_estimators': 90}",1.3337025867637478
"{'model__max_features': 7, 'model__n_estimators': 100}",1.3333451346860143
"{'model__max_features': 7, 'model__n_estimators': 110}",1.3321840274382526
"{'model__max_features': 7, 'model__n_estimators': 120}",1.328102906795014
"{'model__max_features': 7, 'model__n_estimators': 130}",1.3269057822554775
"{'model__max_features': 7, 'model__n_estimators': 140}",1.323803249175852
"{'model__max_features': 7, 'model__n_estimators': 150}",1.3231790438217892
"{'model__max_features': 7, 'model__n_estimators': 160}",1.3243945349804016
"{'model__max_features': 7, 'model__n_estimators': 170}",1.324009947056574
"{'model__max_features': 7, 'model__n_estimators': 180}",1.3225843301180555
"{'model__max_features': 7, 'model__n_estimators': 190}",1.3187241870495887
"{'model__max_features': 7, 'model__n_estimators': 200}",1.3168680414946128
"{'model__max_features': 7, 'model__n_estimators': 210}",1.3177074636321402
"{'model__max_features': 7, 'model__n_estimators': 220}",1.3195744766910444
"{'model__max_features': 7, 'model__n_estimators': 230}",1.321945765115463
"{'model__max_features': 7, 'model__n_estimators': 240}",1.322209588193897
"{'model__max_features': 7, 'model__n_estimators': 250}",1.3200894721304564
"{'model__max_features': 7, 'model__n_estimators': 260}",1.3202031357683373
"{'model__max_features': 7, 'model__n_estimators': 270}",1.3202121053871059
"{'model__max_features': 7, 'model__n_estimators': 280}",1.32066675045395
"{'model__max_features': 7, 'model__n_estimators': 290}",1.3203992191706435
"{'model__max_features': 7, 'model__n_estimators': 300}",1.3198816703686203
"{'model__max_features': 7, 'model__n_estimators': 310}",1.3182661599662024
"{'model__max_features': 7, 'model__n_estimators': 320}",1.3163257763478753
"{'model__max_features': 7, 'model__n_estimators': 330}",1.3168270508955648
"{'model__max_features': 7, 'model__n_estimators': 340}",1.3169583430665415
"{'model__max_features': 7, 'model__n_estimators': 350}",1.3174029672617498
"{'model__max_features': 7, 'model__n_estimators': 360}",1.319334944223899
"{'model__max_features': 7, 'model__n_estimators': 370}",1.3186497621060134
"{'model__max_features': 7, 'model__n_estimators': 380}",1.319247997159972
"{'model__max_features': 7, 'model__n_estimators': 390}",1.320737844464099
"{'model__max_features': 7, 'model__n_estimators': 400}",1.32060991237181
"{'model__max_features': 7, 'model__n_estimators': 410}",1.319421118090436
"{'model__max_features': 7, 'model__n_estimators': 420}",1.3193404579643544
"{'model__max_features': 7, 'model__n_estimators': 430}",1.3196936146444358
"{'model__max_features': 7, 'model__n_estimators': 440}",1.3186195052483658
"{'model__max_features': 7, 'model__n_estimators': 450}",1.3197593896027198
"{'model__max_features': 7, 'model__n_estimators': 460}",1.3199023014012103
"{'model__max_features': 7, 'model__n_estimators': 470}",1.318176655611955
"{'model__max_features': 7, 'model__n_estimators': 480}",1.3177166730439087
"{'model__max_features': 7, 'model__n_estimators': 490}",1.316985909809097
"{'model__max_features': 7, 'model__n_estimators': 500}",1.3162477050516832
"{'model__max_features': 7, 'model__n_estimators': 510}",1.3173040498238098
"{'model__max_features': 7, 'model__n_estimators': 520}",1.3178824483064324
"{'model__max_features': 7, 'model__n_estimators': 530}",1.318232993495536
"{'model__max_features': 7, 'model__n_estimators': 540}",1.3182110792266915
"{'model__max_features': 7, 'model__n_estimators': 550}",1.3193294535724813
"{'model__max_features': 7, 'model__n_estimators': 560}",1.319080412742514
"{'model__max_features': 7, 'model__n_estimators': 570}",1.3192321685856394
"{'model__max_features': 7, 'model__n_estimators': 580}",1.3195293217792956
"{'model__max_features': 7, 'model__n_estimators': 590}",1.3188387635259609
"{'model__max_features': 7, 'model__n_estimators': 600}",1.319229515684403
"{'model__max_features': 7, 'model__n_estimators': 610}",1.319660364082244
"{'model__max_features': 7, 'model__n_estimators': 620}",1.3195934012982187
"{'model__max_features': 7, 'model__n_estimators': 630}",1.3182916086924028
"{'model__max_features': 7, 'model__n_estimators': 640}",1.3181558341377948
"{'model__max_features': 7, 'model__n_estimators': 650}",1.3186123589791585
"{'model__max_features': 7, 'model__n_estimators': 660}",1.3187658443771766
"{'model__max_features': 7, 'model__n_estimators': 670}",1.3194939973609705
"{'model__max_features': 7, 'model__n_estimators': 680}",1.3188998929868951
"{'model__max_features': 7, 'model__n_estimators': 690}",1.3187194501316843
"{'model__max_features': 7, 'model__n_estimators': 700}",1.3190465073256539
"{'model__max_features': 7, 'model__n_estimators': 710}",1.3178016674079915
"{'model__max_features': 7, 'model__n_estimators': 720}",1.318620940326304
"{'model__max_features': 7, 'model__n_estimators': 730}",1.3183872232972156
"{'model__max_features': 7, 'model__n_estimators': 740}",1.318107594443221
"{'model__max_features': 7, 'model__n_estimators': 750}",1.3175597439603601
"{'model__max_features': 7, 'model__n_estimators': 760}",1.317918942788212
"{'model__max_features': 7, 'model__n_estimators': 770}",1.3182990158668333
"{'model__max_features': 7, 'model__n_estimators': 780}",1.3184001893515909
"{'model__max_features': 7, 'model__n_estimators': 790}",1.3183504951915155
"{'model__max_features': 7, 'model__n_estimators': 800}",1.3184896174813552
"{'model__max_features': 7, 'model__n_estimators': 810}",1.318333080174007
"{'model__max_features': 7, 'model__n_estimators': 820}",1.3170785542694226
"{'model__max_features': 7, 'model__n_estimators': 830}",1.317187946608197
"{'model__max_features': 7, 'model__n_estimators': 840}",1.3165095335626291
"{'model__max_features': 7, 'model__n_estimators': 850}",1.3162756816214407
"{'model__max_features': 7, 'model__n_estimators': 860}",1.3164985825479216
"{'model__max_features': 7, 'model__n_estimators': 870}",1.3160543301288414
"{'model__max_features': 7, 'model__n_estimators': 880}",1.3155162345050246
"{'model__max_features': 7, 'model__n_estimators': 890}",1.315298204398545
"{'model__max_features': 7, 'model__n_estimators': 900}",1.3155550392483646
"{'model__max_features': 7, 'model__n_estimators': 910}",1.3157718760998776
"{'model__max_features': 7, 'model__n_estimators': 920}",1.3152512643724374
"{'model__max_features': 7, 'model__n_estimators': 930}",1.3153072807350779
"{'model__max_features': 7, 'model__n_estimators': 940}",1.3153814454789168
"{'model__max_features': 7, 'model__n_estimators': 950}",1.3152633278485968
"{'model__max_features': 7, 'model__n_estimators': 960}",1.3143888201934413
"{'model__max_features': 7, 'model__n_estimators': 970}",1.3148590695856355
"{'model__max_features': 7, 'model__n_estimators': 980}",1.315049549222794
"{'model__max_features': 7, 'model__n_estimators': 990}",1.3152443122328845
"{'model__max_features': 7, 'model__n_estimators': 1000}",1.3153504508931753
"{'model__max_features': 'sqrt', 'model__n_estimators': 10}",1.580028799925304
"{'model__max_features': 'sqrt', 'model__n_estimators': 20}",1.505409088276833
"{'model__max_features': 'sqrt', 'model__n_estimators': 30}",1.4890787828853373
"{'model__max_features': 'sqrt', 'model__n_estimators': 40}",1.4781973798929677
"{'model__max_features': 'sqrt', 'model__n_estimators': 50}",1.4662739468463466
"{'model__max_features': 'sqrt', 'model__n_estimators': 60}",1.4562885611841676
"{'model__max_features': 'sqrt', 'model__n_estimators': 70}",1.4496999839216207
"{'model__max_features': 'sqrt', 'model__n_estimators': 80}",1.4432536166053676
"{'model__max_features': 'sqrt', 'model__n_estimators': 90}",1.4425723607007943
"{'model__max_features': 'sqrt', 'model__n_estimators': 100}",1.44716948807923
"{'model__max_features': 'sqrt', 'model__n_estimators': 110}",1.4441015202873884
"{'model__max_features': 'sqrt', 'model__n_estimators': 120}",1.4409328698714698
"{'model__max_features': 'sqrt', 'model__n_estimators': 130}",1.4361444824266365
"{'model__max_features': 'sqrt', 'model__n_estimators': 140}",1.4406063591300247
"{'model__max_features': 'sqrt', 'model__n_estimators': 150}",1.4373546291035892
"{'model__max_features': 'sqrt', 'model__n_estimators': 160}",1.4369961344706736
"{'model__max_features': 'sqrt', 'model__n_estimators': 170}",1.435416925971086
"{'model__max_features': 'sqrt', 'model__n_estimators': 180}",1.4339485354675259
"{'model__max_features': 'sqrt', 'model__n_estimators': 190}",1.4347947465532749
"{'model__max_features': 'sqrt', 'model__n_estimators': 200}",1.4336632388772168
"{'model__max_features': 'sqrt', 'model__n_estimators': 210}",1.4336134858107663
"{'model__max_features': 'sqrt', 'model__n_estimators': 220}",1.4347493472531925
"{'model__max_features': 'sqrt', 'model__n_estimators': 230}",1.430687291492316
"{'model__max_features': 'sqrt', 'model__n_estimators': 240}",1.4336964856806145
"{'model__max_features': 'sqrt', 'model__n_estimators': 250}",1.4307999284728634
"{'model__max_features': 'sqrt', 'model__n_estimators': 260}",1.4284143435766141
"{'model__max_features': 'sqrt', 'model__n_estimators': 270}",1.4288567065717965
"{'model__max_features': 'sqrt', 'model__n_estimators': 280}",1.4284093762313859
"{'model__max_features': 'sqrt', 'model__n_estimators': 290}",1.4283915733942572
"{'model__max_features': 'sqrt', 'model__n_estimators': 300}",1.4244968580336217
"{'model__max_features': 'sqrt', 'model__n_estimators': 310}",1.4264186927028428
"{'model__max_features': 'sqrt', 'model__n_estimators': 320}",1.4263597185377048
"{'model__max_features': 'sqrt', 'model__n_estimators': 330}",1.4254836308792633
"{'model__max_features': 'sqrt', 'model__n_estimators': 340}",1.424703987108538
"{'model__max_features': 'sqrt', 'model__n_estimators': 350}",1.4229130371350687
"{'model__max_features': 'sqrt', 'model__n_estimators': 360}",1.4224710225676094
"{'model__max_features': 'sqrt', 'model__n_estimators': 370}",1.422659724021965
"{'model__max_features': 'sqrt', 'model__n_estimators': 380}",1.4253536584076056
"{'model__max_features': 'sqrt', 'model__n_estimators': 390}",1.4260568196664634
"{'model__max_features': 'sqrt', 'model__n_estimators': 400}",1.425522239821592
"{'model__max_features': 'sqrt', 'model__n_estimators': 410}",1.4256212284649081
"{'model__max_features': 'sqrt', 'model__n_estimators': 420}",1.4253862059945674
"{'model__max_features': 'sqrt', 'model__n_estimators': 430}",1.425073319086077
"{'model__max_features': 'sqrt', 'model__n_estimators': 440}",1.424689419208765
"{'model__max_features': 'sqrt', 'model__n_estimators': 450}",1.4258446733830095
"{'model__max_features': 'sqrt', 'model__n_estimators': 460}",1.4263101456330523
"{'model__max_features': 'sqrt', 'model__n_estimators': 470}",1.42778769596449
"{'model__max_features': 'sqrt', 'model__n_estimators': 480}",1.4287185300514267
"{'model__max_features': 'sqrt', 'model__n_estimators': 490}",1.4279906328280882
"{'model__max_features': 'sqrt', 'model__n_estimators': 500}",1.4292709583727505
"{'model__max_features': 'sqrt', 'model__n_estimators': 510}",1.4276989706219785
"{'model__max_features': 'sqrt', 'model__n_estimators': 520}",1.4275599136431416
"{'model__max_features': 'sqrt', 'model__n_estimators': 530}",1.4271569936002602
"{'model__max_features': 'sqrt', 'model__n_estimators': 540}",1.4270889939268845
"{'model__max_features': 'sqrt', 'model__n_estimators': 550}",1.4283360431002923
"{'model__max_features': 'sqrt', 'model__n_estimators': 560}",1.4269243215241716
"{'model__max_features': 'sqrt', 'model__n_estimators': 570}",1.425833827866188
"{'model__max_features': 'sqrt', 'model__n_estimators': 580}",1.425713125655842
"{'model__max_features': 'sqrt', 'model__n_estimators': 590}",1.425654750243278
