GEOID,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density,fafood,fitness,park,obesity_cr
36029005300,-0.2804852735259899,0.3501837729594735,0.23737171678385705,1.7216931049348896,-0.30600113766753523,-0.4430332909687006,-1.2752911648024998,3.8184151878797308,-1.802869745584274,-1.0453276397086027,-1.049338964393608,-0.4304244217248033,-0.7348360813896109,-0.23762405336620307,0.5219548378660687,-0.9573087157318034,-0.3578618741461656,1.3684991655791237,-0.27848525095745247,-0.3078409026391377,-1.5166498845555187,0.6723722324544573,0.6418005503179638,1.6131733247818563,26.2
36029005400,-0.8200116728245996,-0.4810182462081254,-0.44581615759618404,-0.26863800591988407,-0.5910828688044278,-0.6320334383336905,1.7088860098779892,-0.45559658555280635,0.29887439379082587,1.0496272159385758,-0.26201444583495387,0.5212294706954832,-1.585578502207892,1.7696576749635426,-1.2291432702703513,-1.3635564415310792,-1.5174295253007957,2.0283889231552403,-0.27848525095745247,-0.668053442429682,-0.6729563817413495,1.0734951511656219,1.064815951189048,1.5834520800590242,28.6
36029005500,-0.7101266375467993,0.2626256856420141,0.1732961717949146,-0.26863800591988407,0.8147864378851114,-0.7565855579786276,0.1197570074660262,0.04954519210764784,1.1023298570111961,-0.21168605012423425,-0.9839984730495667,-1.5329634834101549,-0.13682008568259627,-0.4106426829419339,-0.5761754463705091,0.5134636209547693,0.753625379842437,-0.27958371155127754,-0.27848525095745247,1.3189176165596976,-0.281863024211598,0.6665452532086257,1.209534202409822,-0.656262529637625,36.6
36029005600,-0.1502190890517147,-0.4810182462081254,0.07763314087361183,-0.26863800591988407,1.1630859169636905,0.9880251122978476,0.596773893746199,-0.17215647519918392,0.5390061445871343,0.3775954654102815,-0.19586746278895534,-0.5110624602968105,1.3557359537840097,-0.6034020982368776,-0.04741382042193812,0.21808554322255982,0.6997814195931521,-0.49735827499679536,0.4558765409509371,0.7403108682123344,-0.8104252002088382,0.28638394976387327,-0.3931590693518049,-1.1546021163116618,39.0
36029000600,-0.8390781506598131,-0.4810182462081254,-0.6657400491693992,-0.26863800591988407,-0.6926480183110827,0.7572151351608861,2.924633043608536,-0.5118482047689265,0.5553134458812817,-1.3599759573218946,0.41255900381844135,0.7831725266142873,-0.7248561475713778,1.2481266418495374,-0.8720579437887391,-1.3056959550473293,-1.08907960686908,-0.1789040138779728,0.3090041825692592,-2.411724987380928,0.607423209666454,0.8906297179186261,0.6923690035823318,1.766966766003571,29.6
36029001500,1.427495974735862,-0.4810182462081254,-0.6657400491693992,-0.26863800591988407,-0.9991790015648379,0.40909113509265693,-0.06010706826966211,-1.742540136297749,-0.4241555464907836,-0.9115305332909645,3.2086143818834265,2.2298371241514094,0.7968263941449282,-0.5598154092788603,-0.09947675993982201,-0.19927279257141833,0.47568399347070467,-0.4338862916810163,-0.27848525095745247,-0.8559841299790197,-1.0982845185855106,-0.380928068668067,-0.6688231785662128,-1.5924177927566034,44.6
36029004200,1.6691112375408572,-0.2648273021670063,-0.6038422215428979,-0.26863800591988407,-0.7496933559009497,-0.13890260918566713,-0.6748135778233286,-0.7956400197546885,-0.11106112825683266,-0.6974621909865321,-0.6874695450082497,-0.06980354690620638,-0.46156166075455596,-0.4262783511415551,0.5647342959466604,0.3013683585201857,0.32528042532144136,-0.6812081577045692,-0.27848525095745247,-0.1459472272846862,0.5117079799971834,1.1951782794214125,-0.5982931096970585,-0.7989773781510661,45.1
36029005202,0.3544057143115961,-0.4810182462081254,-0.18570767414888295,0.7265272286661306,-0.5713582928509732,0.7859923254478617,-2.1707450198940648,3.8039047520301725,-1.4668720064498697,-2.333124892774831,-1.322987500768559,-1.6652715637247668,-0.7196490755694882,0.0059060065460433695,0.09686111372850294,0.4981642784363647,-0.5008836683557887,0.12094639006208689,-0.27848525095745247,0.2923224615494202,1.5052948547686782,0.15907368288629384,-0.05175691317404463,-0.1218510212476454,33.8
36029017100,-0.2477525426334475,-0.1493017367894786,0.3593764427324746,4.451786884412665,1.4551735710360825,0.19224016192247137,-0.26294164212931515,0.3976861716822997,0.1842319932153359,-0.47621007697372586,-1.5820674992430321,-1.1319728662406037,1.5169891158136604,-0.6694461948020729,-0.6817614047065877,1.153380582122175,0.9588340139038483,-0.4896978632173048,-0.27848525095745247,0.5998687402970283,-0.8161108564913493,0.06288845178238574,-0.21063742444063752,-0.5638376416673156,40.2
36029000200,-0.9737302122523899,-0.4810182462081254,-0.34569145671652934,4.205245957151098,0.47461145423257717,0.3922756722393063,0.2426508488009464,-0.4085396004637077,-0.4639057227480702,0.8730051631031213,0.8165952227495027,-0.947084312697546,-0.4107674414338145,-0.34508154137904357,-1.0538829554803866,0.18907855897432896,-0.3723343782044232,-0.5772454264114828,-0.27848525095745247,-0.21700525689208083,0.1141229890068707,2.028002612166521,1.2164698787363812,2.04253544810246,36.1
