GEOID,obesity_cr,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density,Lonpro,Latpro
6037139503,24.4,0.032784101,0,0.04008833,0,0.219976219,0.433667403,0.381668672,0.134024121,0.20332937,0.14217768,0.120944454,0.22235434,0.068161634,56479,0.05787309,0.158484797,0.073333333,373500,1973,0.658518519,16743.22038,359485,3781810
6037131701,26.7,0.096662831,0.006712697,0.09647104,0,0.424050633,0.483505946,0.442599278,0.136555428,0.165515919,0.13693901,0.12543153,0.200038358,0.178212442,53561,0.111790079,0.184695052,0.147984539,386700,1976,0.575372722,7906.289094,356472,3785950
6037135102,22.4,0.044852192,0.007390418,0.115953109,0,0.162844037,0.472477064,0.486272117,0.170489297,0.132008155,0.122833843,0.179153925,0.20158002,0.062407132,127721,0.056138749,0.028410545,0.037037037,628100,1959,0.188477366,2352.461572,350817,3784240
6037204300,35.5,0.004011231,0.001604493,0.013838748,0,0.950661853,0.493782591,0.345876289,0.204171681,0.1377858,0.117729643,0.07400722,0.187123947,0.612858624,37174,0.089968976,0.290704801,0.228139905,433700,1946,0.758346582,7752.347783,388503,3767110
6037113303,24.4,0.014627351,0.006036684,0.169491525,0,0.306942187,0.508706756,0.476693767,0.123055491,0.119108428,0.137218482,0.152310193,0.261899234,0.103359173,83971,0.041761235,0.079610266,0.054609929,529300,1958,0.105673759,1052.107049,354617,3790320
6037139702,20.8,0.030658106,0,0.037239165,0,0.039967897,0.494060995,0.661393672,0.052808989,0.072070626,0.118298555,0.189727127,0.308667737,0.046713991,202471,0.047325103,0.034786869,0,1399500,1965,0.070909091,663.352368,361125,3778800
6037208301,33,0.01308074,0.031123139,0.036084799,0.00270636,0.940460081,0.553901669,0.314619883,0.233649075,0.229589535,0.096075778,0.091114118,0.066305819,0.501589825,45000,0.061241611,0.351826793,0.238181818,801500,1965,0.950909091,23861.49356,383183,3769750
6037120103,36.5,0.029126214,0,0.028832009,0,0.92115328,0.463665784,0.416310845,0.168873198,0.185642836,0.120623713,0.111209179,0.056192998,0.482388974,28073,0.136507937,0.474880383,0.255648038,255000,1967,0.931034483,24555.52264,366286,3788580
6037241001,34.2,0.283585459,0,0.001580492,0.001580492,0.695416573,0.428764958,0.361966657,0.248588846,0.11921427,0.125310454,0.080379318,0.142244299,0.40268714,39509,0.057863501,0.25263399,0.115954664,312400,1949,0.552746295,4888.1433,382936,3755040
6037123020,30.8,0.012563566,0.001495663,0.044869877,0,0.862399043,0.482500748,0.40701107,0.180975172,0.165719414,0.126233922,0.14029315,0.151959318,0.453430259,51042,0.064874342,0.208106473,0.177966102,384700,1954,0.377723971,5912.450457,374106,3785700
6037204200,32.8,0.00326087,0,0.019565217,0,0.967663043,0.524456522,0.375227025,0.211141304,0.14076087,0.131521739,0.097554348,0.109782609,0.573849879,32378,0.058096415,0.345652174,0.182194617,360400,1939,0.859213251,12223.76126,388768,3767650
6037107020,28.2,0.006247703,0.019845645,0.094266814,0,0.860161705,0.48585079,0.450604122,0.221609702,0.089672914,0.175486953,0.127342889,0.098860713,0.372881356,81935,0.038654259,0.064498346,0.1072,386200,1964,0.2968,5472.399177,366515,3796100
6037199110,29,0.021188044,0.010215664,0.036700719,0,0.885735906,0.525160802,0.358013121,0.150964813,0.184638668,0.128263337,0.122587968,0.197502838,0.374135178,60430,0.118086697,0.145667802,0.142068966,462900,1939,0.40137931,2931.695814,389522,3771600
6037231500,34.2,0.371344455,0.015112856,0.032384691,0,0.575662414,0.47576055,0.364789076,0.192541708,0.113837095,0.106771344,0.143473994,0.202158979,0.266608392,46472,0.037316395,0.186480645,0.172752809,397200,1939,0.509129213,5545.270412,378954,3763740
6037272201,24.8,0.062134503,0.082236842,0.092105263,0,0.449926901,0.524853801,0.313014827,0.222953216,0.232821637,0.185307018,0.115497076,0.110745614,0.214602861,63750,0.072485962,0.134137427,0.050347222,884900,1974,0.852430556,10526.84229,367557,3763130
6037212620,23.5,0.028132388,0.011583924,0.386524823,0,0.474468085,0.480851064,0.400735294,0.193853428,0.167612293,0.168085106,0.126477541,0.151300236,0.281229346,39375,0.049446203,0.278215223,0.087145969,1008100,1959,0.918845316,14662.40082,378818,3769180
6037294820,34.7,0.007986781,0.052327183,0.014871936,0,0.974662627,0.543927293,0.439100078,0.215643074,0.127788488,0.131093363,0.090608648,0.096667585,0.60989011,38949,0.125555556,0.250344258,0.261984392,382400,1959,0.901895206,9472.725802,382818,3738460
6037237800,33.3,0.547216157,0.014737991,0.002183406,0,0.376091703,0.515010917,0.40529203,0.209334061,0.158024017,0.128820961,0.122543668,0.201146288,0.204424104,46042,0.098288239,0.166940339,0.143484627,370100,1942,0.391654466,3768.182716,380077,3759700
6037211804,19.5,0.014321295,0.021481943,0.71762142,0,0.109589041,0.443337484,0.455445545,0.154732254,0.132316314,0.190846824,0.158156912,0.215442092,0.077019151,39469,0.072575017,0.211988761,0.099845201,773800,1971,0.92879257,17280.24446,379429,3770370
6037232700,36.6,0.190649666,0.035367335,0.010018215,0,0.783697632,0.470856102,0.374075596,0.201426837,0.180024287,0.104128719,0.116423801,0.10564663,0.458731756,37067,0.074377346,0.34486946,0.259142497,374900,1948,0.621059269,9013.877924,381240,3762050
6037201602,28.4,0.001079137,0.002158273,0.122661871,0,0.843884892,0.463309353,0.41967354,0.189568345,0.132014388,0.142446043,0.139928058,0.197841727,0.336345382,59853,0.111850866,0.140839971,0.178117048,448200,1950,0.393129771,2609.789527,392242,3771330
6037189905,22.3,0.048293089,0,0.060366361,0,0.101582015,0.532472939,0.371465296,0.239383847,0.263530391,0.158617818,0.097418818,0.197751873,0.020901068,68393,0.075098814,0.116954144,0.013596193,630400,1973,0.78382053,9300.776743,375327,3774140
6037143902,20.8,0.014355742,0,0.092787115,0,0.106092437,0.509453782,0.521323236,0.150560224,0.152661064,0.172619048,0.137605042,0.228991597,0.004871568,120781,0.057594579,0.023459384,0,1236200,1963,0.441289332,1130.627858,369193,3778250
6037137504,22,0.009165461,0.013024602,0.015918958,0,0.030873131,0.50265316,0.550339367,0.104196816,0.093101785,0.112879884,0.136999518,0.372407139,0.030710173,158500,0.027916251,0.04341534,0.010086455,1185500,1968,0.025936599,540.3390749,355069,3779690
6037204600,34.6,0.016986168,0.009221063,0.016986168,0,0.934724581,0.50012133,0.403636364,0.217180296,0.144382431,0.10215967,0.120601796,0.162096579,0.591967871,31042,0.069657615,0.259160398,0.206779661,365200,1939,0.788983051,7078.457339,387676,3766940
6037104822,30.4,0.012372635,0.01783115,0.045123726,0,0.911572052,0.509461426,0.430164888,0.173580786,0.15356623,0.140101892,0.1430131,0.112809316,0.541169451,55500,0.05037594,0.206442167,0.2,423200,1970,0.636065574,4548.727498,369153,3790330
6037261102,20.9,0.024086604,0,0.056562923,0,0.019485792,0.498511502,0.641786284,0.071718539,0.107171854,0.149661705,0.153179973,0.345872801,0.017633096,154063,0.051993068,0.048277733,0.033333333,2000000,1967,0.051282051,464.8015182,368588,3775620
