GEOID,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density
6037115202,0.098536036,0.0,0.14771021,0.0,0.392267267,0.4878003,0.396251378,0.283220721,0.146021021,0.119744745,0.119744745,0.170232733,0.076502732,61202,0.023881499,0.14994363,0.039357846,515900,1964,0.570170896,3060.626425
6037241002,0.386715867,0.0,0.00098401,0.0,0.603936039,0.433702337,0.368202286,0.164083641,0.151783518,0.084132841,0.109225092,0.133087331,0.352861035,58029,0.079924481,0.222469686,0.184707051,328600,1948,0.585898709,5749.410562
36005016700,0.532137931,0.004965517,0.0,0.0,0.568551724,0.490482759,0.359965636,0.149241379,0.150068966,0.141517241,0.089931034,0.059034483,0.254476397,31902,0.140416048,0.433038348,0.469506292,441800,2000,0.94482091,17621.29527
36061010100,0.080911233,0.0,0.328358209,0.0,0.091123331,0.586802828,0.2929374,0.293008641,0.336213668,0.133542812,0.098193244,0.100549882,0.054079696,135000,0.066066066,0.156323645,0.03253012,466700,2007,0.985542169,7257.282937
6037143902,0.014355742,0.0,0.092787115,0.0,0.106092437,0.509453782,0.521323236,0.150560224,0.152661064,0.172619048,0.137605042,0.228991597,0.004871568,120781,0.057594579,0.023459384,0.0,1236200,1963,0.441289332,1130.627858
36047025600,0.018949468,0.0,0.649601064,0.0,0.061170213,0.463098404,0.519524618,0.126329787,0.15525266,0.141954787,0.093085106,0.244015957,0.389178927,49821,0.088235294,0.254666667,0.246440307,805700,1939,0.47645126,17370.01363
36061025500,0.087578048,0.038284588,0.202103188,0.0,0.429017417,0.451692409,0.330112721,0.336674335,0.204896484,0.070161025,0.102694709,0.190437069,0.168045276,55742,0.035297927,0.289473684,0.281320669,475800,1939,0.977385798,5922.999642
6037237710,0.144774011,0.003295669,0.009887006,0.0,0.81920904,0.486581921,0.376368319,0.213747646,0.166666667,0.165254237,0.091572505,0.065677966,0.457021277,35262,0.117260788,0.321057602,0.277623027,325400,1949,0.855153203,9831.444422
36047099000,0.766666667,0.0,0.052873563,0.0,0.073563218,0.475287356,0.441176471,0.106896552,0.118965517,0.177586207,0.135057471,0.143103448,0.130600572,89688,0.065315315,0.226720648,0.162839248,546900,1939,0.377870564,10634.00682
6037125502,0.056696558,0.002314145,0.077234596,0.002892682,0.181660399,0.462829043,0.290885996,0.205091119,0.260630605,0.159386752,0.105004339,0.16430431,0.061319191,65919,0.112168054,0.139716517,0.007825601,675900,1976,0.740637228,6613.749022
6037195903,0.012009238,0.001847575,0.163972286,0.0,0.463279446,0.419861432,0.305642633,0.23187067,0.259122402,0.118244804,0.107621247,0.144572748,0.18425656,52833,0.053701016,0.116397229,0.058498896,650900,1951,0.79580574,9097.556056
6037296902,0.033024769,0.0,0.043782837,0.0,0.53765324,0.482361771,0.388994911,0.158869152,0.120590443,0.18138604,0.168376282,0.13785339,0.174889543,48347,0.061595894,0.15237366,0.071691176,467900,1956,0.840073529,8109.281546
6037191410,0.049067315,0.0,0.143755069,0.004460665,0.642944039,0.553325223,0.327272727,0.198905109,0.177007299,0.155515004,0.104420114,0.128548256,0.310044978,31822,0.066314996,0.294653958,0.168471721,632800,1957,0.981347774,15846.03769
6037123103,0.062580479,0.0,0.119495236,0.0,0.520216328,0.451455061,0.440291416,0.188771568,0.181045583,0.101210404,0.124903425,0.171516868,0.253874539,45000,0.047486034,0.21473029,0.109677419,427400,1976,0.696774194,4305.049869
36081027600,0.803652968,0.0,0.063274625,0.0,0.112198304,0.474233529,0.294851794,0.181996086,0.223744292,0.074363992,0.086757991,0.219178082,0.199458484,64375,0.04822335,0.076570681,0.149038462,407500,1955,0.317307692,9663.023335
6037228500,0.154041887,0.007242122,0.008220787,0.0,0.839694656,0.542571932,0.311047271,0.211391662,0.139166177,0.155999217,0.112350754,0.079859072,0.574367622,33259,0.065397351,0.353680079,0.244845361,342900,1951,0.738831615,11386.5314
36061003602,0.098312784,0.007787151,0.108371188,0.0,0.134328358,0.587280986,0.280263158,0.374107722,0.212848799,0.097988319,0.140493186,0.158338741,0.09945184,90625,0.091981132,0.237061165,0.075857039,586100,1939,0.908825675,34647.12098
6037271901,0.097643098,0.042240588,0.201101928,0.0,0.258647077,0.514233242,0.370177268,0.190082645,0.228344047,0.123966942,0.129170493,0.18640955,0.101830664,83438,0.064411492,0.123660851,0.018813314,1083300,1962,0.620839363,4965.573845
36005037800,0.607319486,0.0,0.005934718,0.0,0.405868777,0.446422684,0.362375379,0.19650511,0.116716123,0.138806462,0.146389713,0.129574679,0.301700494,34656,0.117231638,0.30102209,0.408450704,355900,1949,0.861971831,23016.85474
36061003200,0.046663257,0.000127845,0.122091537,0.0,0.070570187,0.551393505,0.268824395,0.290974175,0.19368448,0.141396062,0.099463053,0.221426745,0.014995049,64682,0.036104807,0.160572744,0.047234043,656000,1939,0.896595745,35955.11816
36047115200,0.620454545,0.0,0.028571429,0.0,0.274350649,0.447402597,0.36448997,0.143506494,0.162012987,0.153246753,0.119480519,0.125,0.290826613,36655,0.080696203,0.253988929,0.41090555,569200,1961,0.816942551,18549.85877
6037212102,0.160365059,0.016079965,0.45067362,0.018687527,0.249022164,0.520643199,0.334685598,0.258148631,0.1438505,0.086484137,0.073011734,0.274228596,0.148705599,27333,0.031814273,0.183833116,0.081896552,350000,1959,0.99137931,16602.57012
