mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_features,param_model__n_estimators,param_model__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.2612084150314331,0.004484914540933827,0.0056855201721191405,0.0002318068159017993,21,10,,"{'model__max_features': 21, 'model__n_estimators': 10}",-4.115944285714285,-6.044272857142856,-5.429032142857139,-4.985796428571429,-6.468557142857143,-4.242925714285716,-4.128862589928056,-5.949856834532375,-6.266522302158274,-5.4044381294964,-5.303620842754366,0.8539937562617075,894,-0.9893105891719743,-1.0747777070063695,-1.0125001592356686,-0.9217475318471333,-0.9502571656050951,-0.9637620222929931,-0.9269861575178996,-0.9593373906125695,-0.9622174224343674,-0.9507459029435161,-0.9711642048667587,0.04277398713556098
0.509782338142395,0.004756032358207109,0.007335138320922851,0.0002475108877001781,21,20,,"{'model__max_features': 21, 'model__n_estimators': 20}",-4.433049107142857,-5.763400357142857,-4.547524107142859,-4.662411964285713,-6.156293035714284,-4.1084667857142865,-4.355260251798561,-4.953219964028776,-5.999579136690649,-4.892345503597121,-4.987155021325796,0.6915008541784686,876,-0.8445596337579615,-0.8720708001592357,-0.826873069267516,-0.7750380772292993,-0.786262340764331,-0.828142595541401,-0.7702158711217183,-0.8173957836117739,-0.7804478520286396,-0.8133179395385838,-0.811432396302046,0.03154063153119842
0.747788381576538,0.005983948408874572,0.010185456275939942,0.0017227959092599124,21,30,,"{'model__max_features': 21, 'model__n_estimators': 30}",-4.06170587301587,-5.519812301587301,-4.517431428571429,-4.683130873015871,-5.968334523809522,-3.9402568253968266,-4.313221662669863,-5.0514301358912865,-5.9093077537969645,-4.575326298960829,-4.853995767671577,0.6937529849950432,686,-0.7633666135881105,-0.7827297593772119,-0.769097726468507,-0.7536096868365186,-0.7378958421797596,-0.7708009554140126,-0.7461700698311678,-0.7589532396358172,-0.7227150888358531,-0.7728090515336341,-0.7578148033700594,0.017192101217558306
0.9924644708633423,0.009827028198234356,0.012083840370178223,0.001413334996757379,21,40,,"{'model__max_features': 21, 'model__n_estimators': 40}",-3.888818080357142,-5.308000267857142,-4.313774910714287,-4.693793437500001,-6.16307589285714,-3.897986071428572,-4.375613624100716,-5.221188219424461,-5.9836126798561144,-4.4254390737410025,-4.827130225783658,0.768049095783428,684,-0.7300257961783443,-0.7517647939888539,-0.7468005822054143,-0.7274023337977711,-0.7206569466560512,-0.7669521795382167,-0.7404374552505971,-0.7350973647573589,-0.6851598548130472,-0.7542348945902947,-0.7358532201775949,0.02146103689169064
1.2296492099761962,0.008125618745569298,0.01224977970123291,0.0002084273995725293,21,50,,"{'model__max_features': 21, 'model__n_estimators': 50}",-3.934886742857143,-5.2789568000000004,-4.268125314285715,-4.633507542857143,-6.244281314285711,-3.8411205142857145,-4.339066158273379,-5.220931165467624,-5.991234273381291,-4.49265867625899,-4.824476850195271,0.7868277473736776,683,-0.7159629331210196,-0.737413385350319,-0.7414034044585989,-0.7194977197452234,-0.7221111942675165,-0.7547188343949046,-0.7313510230708039,-0.7401539697692924,-0.6690466125696104,-0.7347947684964202,-0.7266453845243709,0.02212755350718833
1.4766815423965454,0.010037267763627464,0.015525269508361816,0.0011611989888881485,21,60,,"{'model__max_features': 21, 'model__n_estimators': 60}",-3.915129960317459,-5.277908730158731,-4.275488611111111,-4.699365734126987,-6.102303511904763,-3.7552507341269834,-4.299669864108711,-5.296154816147081,-5.84050003996802,-4.438902517985611,-4.7900674519955455,0.7610960304555703,680,-0.7037348770346787,-0.7148726114649689,-0.7245889486022653,-0.7169625906758677,-0.6992412331917915,-0.7277535164543533,-0.7173904335719974,-0.7207946079731284,-0.6664627044108549,-0.7139375209935475,-0.7105739044373454,0.01683477411093351
1.7189348697662354,0.01414741550821504,0.017771816253662108,0.0020010686104207326,21,70,,"{'model__max_features': 21, 'model__n_estimators': 70}",-3.9259791107871713,-5.263283600583091,-4.239179212827987,-4.774175116618075,-6.069665903790088,-3.73905110787172,-4.289400969020697,-5.167043136103361,-5.7508467919541895,-4.468146439583026,-4.76867713891394,0.7369703096796568,677,-0.6866562556869887,-0.6925435655790989,-0.7133766346028863,-0.7091549883010537,-0.6896826433121033,-0.7108044667229958,-0.7120373305408088,-0.7089696345363926,-0.6548236390498923,-0.7085630006656604,-0.6986612158997881,0.017439160678023598
1.9600159645080566,0.016731885473963065,0.017922019958496092,0.000814184278064792,21,80,,"{'model__max_features': 21, 'model__n_estimators': 80}",-3.934468671874999,-5.275998783482147,-4.232122477678573,-4.729864229910712,-6.068422790178572,-3.741480323660715,-4.295050618255392,-5.242878540917265,-5.711098336330932,-4.495686207284171,-4.772707097957348,0.7347691355997696,678,-0.6857571991938699,-0.6844394083399689,-0.7159561069367039,-0.6991894195362269,-0.6810718799761162,-0.6976481376890933,-0.709883988414877,-0.7066367504474944,-0.6556473597852026,-0.7088978768894194,-0.6945128127208972,0.017178547986183002
2.201854133605957,0.017813045132185287,0.02062041759490967,0.002777349446500238,21,90,,"{'model__max_features': 21, 'model__n_estimators': 90}",-3.988247583774249,-5.236853465608469,-4.212027910052915,-4.766457636684303,-6.029585229276899,-3.7287686860670193,-4.252988835598187,-5.226953903543832,-5.779130562216889,-4.420686712851944,-4.76417005256747,0.7367010108882786,676,-0.6763013259809708,-0.6772870213100576,-0.7076063251946211,-0.6990734852952744,-0.6837979908783528,-0.6979573071479129,-0.708255820737205,-0.707319764872271,-0.6619843454432953,-0.7090128799709284,-0.692859626683089,0.015941170210768723
2.4591852188110352,0.012023566631994574,0.023768854141235352,0.006988819357673669,21,100,,"{'model__max_features': 21, 'model__n_estimators': 100}",-3.942564635714285,-5.21296790714286,-4.1345181285714325,-4.721886700000001,-6.0602004500000035,-3.6715681,-4.254808143884893,-5.264776050359716,-5.74797663309352,-4.370183280575545,-4.7381450029342265,0.759905393568356,673,-0.6734073750000001,-0.6700458049363057,-0.6980178097133756,-0.6928158463375795,-0.6739338853503195,-0.6903107818471342,-0.6976569920445506,-0.6937726547334921,-0.6509402569610179,-0.7002794566428003,-0.6841180863566575,0.015369255409726668
