,local_weight,local_model_num,r2,rmse
27,0.25,28,0.894977868,1.882112378
28,0.25,29,0.894969271,1.882189411
2,0.25,3,0.894955534,1.882312493
29,0.25,30,0.894954753,1.882319496
30,0.25,31,0.894947966,1.882380302
3,0.25,4,0.894937328,1.882475605
33,0.25,34,0.894935896,1.882488437
32,0.25,33,0.894934113,1.882504413
31,0.25,32,0.894922582,1.882607711
4,0.25,5,0.894904149,1.88277283
34,0.25,35,0.894901587,1.88279578
5,0.25,6,0.894880344,1.882986046
35,0.25,36,0.894879413,1.882994388
36,0.25,37,0.894874809,1.883035623
37,0.25,38,0.894871595,1.883064406
6,0.25,7,0.894858236,1.883184047
38,0.25,39,0.894847932,1.883276322
39,0.25,40,0.894827395,1.883460217
