GEOID,obesity_cr,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density,Lonpro,Latpro
36029004001,46,0.694586768,0.011138338,0.057473825,0.008687904,0.048563154,0.489195812,0.306043465,0.180218311,0.168857207,0.110937848,0.085987971,0.170639341,0.171038448,26633,0.104018913,0.432167521,0.423941453,59700,1939,0.651855724,2925.249418,186937,4760650
36029016800,46.6,0.89744389,0,0.009663342,0,0.030548628,0.441084788,0.251515152,0.212593516,0.098503741,0.121259352,0.126870324,0.259975062,0.215349887,23750,0.182080925,0.329303213,0.465909091,63300,1939,0.594251337,1855.761944,184937,4758220
36029016600,47.5,0.908692185,0.008373206,0,0,0.006379585,0.446969697,0.213256484,0.205342903,0.126794258,0.100877193,0.116826156,0.261562998,0.312214612,26611,0.153039832,0.317447496,0.476808905,51800,1939,0.461038961,2143.498141,185993,4756470
36029005300,26.2,0.29280397,0.008064516,0.068858561,0.003101737,0.079404467,0.451612903,0.212598425,0.538461538,0.057692308,0.079404467,0.094292804,0.165012407,0.107001321,33125,0.112097669,0.174301676,0.291404612,237300,1939,0.547169811,692.1157752,185129,4760410
36029002900,46.1,0.835164835,0,0.033545402,0,0.028340081,0.352226721,0.252688172,0.14459225,0.117408907,0.101214575,0.12724118,0.201272412,0.186717998,27313,0.177966102,0.394045534,0.437094682,36800,1939,0.575875486,2220.524116,188161,4757530
36029006702,30.5,0.270856303,0,0.065417126,0,0.109886071,0.508636531,0.12922843,0.297684675,0.162072767,0.064682102,0.117971334,0.321572951,0.100170503,37070,0.052930057,0.249907304,0.239181014,335600,1939,0.893904141,3431.992069,183885,4757760
36029004100,44.1,0.865456137,0.001968935,0.029752789,0,0.022752133,0.423539707,0.319653825,0.153358127,0.108072632,0.130824765,0.137825421,0.181579523,0.131814787,31829,0.03716551,0.286340715,0.36678928,56500,1939,0.554913295,4209.682915,189126,4759630
36029003700,46.9,0.815896394,0,0.043169121,0,0.036058913,0.489334688,0.335347432,0.154393093,0.161503301,0.094718131,0.099542915,0.173438294,0.250763192,23792,0.143048128,0.422284406,0.533618582,36700,1939,0.708435208,3581.790895,189089,4758480
36029002702,44.7,0.262860728,0.006587202,0.490903388,0,0.019761606,0.533877039,0.540286482,0.139272271,0.153074028,0.143036386,0.077164366,0.120138018,0.284897025,18554,0.081549439,0.51944793,0.51804878,34300,1939,0.592195122,3515.469499,186946,4756710
36029005802,37.8,0.133644652,0.001778964,0.277740716,0,0.155214588,0.427173671,0.385804236,0.171447632,0.158327774,0.147431621,0.114965533,0.121859017,0.271428571,31364,0.041515309,0.385368023,0.480333731,58200,1939,0.609058403,3081.424431,181311,4762910
36029005700,40.8,0.146621203,0.012709237,0.119342839,0,0.357408555,0.434283943,0.366942149,0.192188469,0.127402356,0.123682579,0.118722877,0.109733416,0.16930639,20575,0.011340206,0.590514569,0.46562228,54400,1944,0.730200174,3365.805461,181902,4762610
36029006302,26.7,0.10419026,0,0.040770102,0,0.033220083,0.468856172,0.430089943,0.223103058,0.144205361,0.102680257,0.17591544,0.237825595,0.065693431,78438,0.008976661,0.128805621,0.05988024,391900,1939,0.509837468,2523.145502,183969,4759990
36029016700,33.5,0.028345725,0.07063197,0,0,0.045074349,0.423327138,0.348928974,0.135223048,0.12035316,0.094330855,0.189126394,0.276951673,0.160268129,37813,0.089270386,0.125526932,0.268535262,69400,1939,0.400542495,1127.35083,188989,4754290
36029005600,39,0.3360799,0,0.056679151,0,0.247690387,0.523845194,0.371063299,0.197253433,0.159300874,0.11710362,0.122347066,0.160049938,0.284536892,27066,0.081767956,0.337528316,0.467397576,66800,1944,0.700519331,1818.454246,182940,4762730
36029003301,43.5,0.929997266,0,0,0,0.013125513,0.416735029,0.31025641,0.126606508,0.075745146,0.115942029,0.121684441,0.2707137,0.141285956,29140,0.127375088,0.352739726,0.459807074,66500,1939,0.519614148,5237.514179,185862,4758940
36029000200,36.1,0.0625,0,0.02440239,0.006972112,0.168824701,0.4937749,0.341087811,0.177041833,0.115786853,0.130229084,0.15562749,0.133217131,0.13452188,31345,0.028154327,0.333500125,0.288996372,59500,1939,0.560459492,3292.990915,187232,4751580
36029003800,46.3,0.75846787,0,0,0,0.098765432,0.43937955,0.318042813,0.158277936,0.178537512,0.122507123,0.091168091,0.114909782,0.169221698,24129,0.138828633,0.469938252,0.54368932,39200,1939,0.649602824,5088.964245,189685,4758590
36029004800,27,0.084450063,0.002022756,0.010872314,0,0.036662453,0.514538559,0.43733412,0.205309735,0.150948167,0.135271808,0.107964602,0.224020228,0.055403557,77622,0.057784912,0.098580841,0.094152047,212200,1939,0.36374269,3997.202464,186010,4762310
36029016300,39.8,0.101678657,0,0.006235012,0,0.304556355,0.514148681,0.345488257,0.135731415,0.135731415,0.09736211,0.184172662,0.162110312,0.263656227,28201,0.116395494,0.345323741,0.46716233,33100,1939,0.401486989,493.2004687,187098,4753740
36029001000,32.4,0.09209454,0.034718826,0.016136919,0,0.055093725,0.515729421,0.427102238,0.193154034,0.168867156,0.082966585,0.15599022,0.193480033,0.122188732,49566,0.081107177,0.207792208,0.317935913,79400,1939,0.520183104,2932.488101,189081,4751290
36029005400,28.6,0.113567073,0,0.016768293,0,0.046747967,0.442073171,0.465200362,0.173018293,0.148882114,0.134908537,0.120172764,0.223577236,0.034754568,66375,0.018818381,0.117886179,0.098451327,297600,1939,0.494469027,2037.699512,184421,4761350
36029016500,31.6,0.258673159,0,0.04686549,0,0.127814973,0.646378576,0.294936709,0.318928789,0.273889227,0.094948265,0.123554474,0.132684114,0.15356623,70368,0.00625,0.215738285,0.131914894,360000,1939,0.909219858,859.646828,183660,4755240
36029006301,26.2,0.099455363,0,0.014918305,0,0.061094009,0.47975373,0.425253604,0.304522851,0.21098745,0.098744968,0.099218565,0.155576604,0.09478673,57700,0.017666544,0.132573058,0.15399061,233000,1939,0.572300469,5830.328199,183158,4759690
