,local_weight,local_model_num,r2,rmse
0,2.5e-01,1,0.831516613502904,2.8922700669376336
1,0.25,2,0.8315806573205261,2.891720310589387
2,0.25,3,0.831482126720062,2.8925660604718364
3,0.25,4,0.8317932739497593,2.8898944455157083
4,0.25,5,0.8318813080340351,2.889138106832683
5,0.25,6,0.8318114276960675,2.889738495074743
6,0.25,7,0.8317760895278526,2.8900420611856377
7,0.25,8,0.8318444734840783,2.8894545923828674
8,0.25,9,0.8318665094342252,2.889265261812601
9,0.25,10,0.8318714791086961,2.889222561176733
10,0.25,11,0.8319864841058134,2.88823423429577
11,0.25,12,0.8318699442066353,2.889235749491
12,0.25,13,0.831843701540799,2.889461224613576
13,0.25,14,0.8318521235644584,2.8893888651012354
14,0.25,15,0.8318519398267497,2.8893904437400972
15,0.25,16,0.8318669258759591,2.889261683669495
16,0.25,17,0.831883296471096,2.8891210210279885
17,0.25,18,0.8319080141232864,2.8889086241866684
18,0.25,19,0.8320138762870817,2.8879987822246256
19,0.25,20,0.8320183662611508,2.887960186398955
20,0.25,21,0.8320030052268076,2.8880922277432832
21,0.25,22,0.8321609359327338,2.886734388895158
22,0.25,23,0.8321658640512412,2.886692008196493
23,0.25,24,0.8320828051836098,2.8874062124649384
24,0.25,25,0.8321325707771161,2.886978310688124
25,0.25,26,0.8321343307128732,2.8869631769909576
26,0.25,27,0.8321673578288084,2.8866791619261685
27,0.25,28,0.8321557246089185,2.8867792044182297
28,0.25,29,0.8321818404109224,2.8865546108573517
29,0.25,30,0.8321787754273351,2.886580970347088
30,0.25,31,0.8321811970137969,2.8865601442250264
31,0.25,32,0.8322307187164638,2.8861342148363023
32,0.25,33,0.8322404273673343,2.886050704688812
33,0.25,34,0.8323548105977223,2.8850666413437134
34,0.25,35,0.8323556012906443,2.885059837675589
35,0.25,36,0.8323839273519528,2.884816090091953
36,0.25,37,0.832502043594044,2.883799470144513
37,0.25,38,0.8324885773592705,2.8839153913803366
38,0.25,39,0.8324763250337837,2.88402085888636
39,0.25,40,0.832412510032627,2.884570113404602
40,0.5,1,0.8333462244748878,2.876523191805874
41,0.5,2,0.8334204906278749,2.8758821858762604
42,0.5,3,0.8332448288248653,2.877398127244151
43,0.5,4,0.8338397814318821,2.8722605198547178
44,0.5,5,0.8340384003001722,2.870543334711119
45,0.5,6,0.8338702831443356,2.8719968800793843
46,0.5,7,0.833810621770716,2.872512537064536
47,0.5,8,0.8339639183025642,2.871187398817743
48,0.5,9,0.8340261845667951,2.870648977061066
49,0.5,10,0.8340462884808187,2.8704751152149037
50,0.5,11,0.8342799579256843,2.8684535316212356
51,0.5,12,0.8340549795099915,2.8703999505519047
52,0.5,13,0.8340083676987758,2.8708030513688003
53,0.5,14,0.8340309325656805,2.8706079165612937
54,0.5,15,0.8340287389040797,2.870626887329905
55,0.5,16,0.8340630361626507,2.8703302705578224
56,0.5,17,0.8340998273448432,2.8700120512302787
57,0.5,18,0.8341507643621855,2.8695714215602535
58,0.5,19,0.8343677331610302,2.8676937788212067
59,0.5,20,0.834382385197203,2.8675669361381546
60,0.5,21,0.8343514716005612,2.867834548588297
61,0.5,22,0.8346648585268686,2.865120466720955
62,0.5,23,0.8346708969554593,2.8650681457710423
63,0.5,24,0.8345119176815257,2.8664453292181524
64,0.5,25,0.8346119770985935,2.865578625670193
65,0.5,26,0.8346178580200414,2.8655276776259613
66,0.5,27,0.8346817884751562,2.8649737720052824
67,0.5,28,0.8346617366381941,2.865147516460149
68,0.5,29,0.8347170916449763,2.864667852727186
69,0.5,30,0.8347165042013831,2.8646729434812706
70,0.5,31,0.8347224177951236,2.8646216961881437
71,0.5,32,0.8348223993194647,2.8637551159551076
72,0.5,33,0.8348398769952372,2.863603602955509
73,0.5,34,0.8350668366371916,2.861635373979729
74,0.5,35,0.8350696152384451,2.8616112691333653
75,0.5,36,0.835126836749437,2.8611148174758463
76,0.5,37,0.8353606841082695,2.8590850706696807
77,0.5,38,0.8353344775034965,2.859312610278467
78,0.5,39,0.8353121916413278,2.8595060936800465
79,0.5,40,0.8351872671530595,2.860590432046207
80,0.75,1,0.8349463949705125,2.8626800311857066
81,0.75,2,0.8349770619766075,2.86241407545523
82,0.75,3,0.8347456683689707,2.864420197473178
83,0.75,4,0.8355970845009294,2.8570316983451804
84,0.75,5,0.8359288388529719,2.8541475908883163
85,0.75,6,0.8356341283993659,2.8567098015155694
86,0.75,7,0.8355611587831508,2.857343843988844
87,0.75,8,0.8358158965100191,2.8551297825721615
88,0.75,9,0.8359365874522708,2.854080193586476
89,0.75,10,0.8359819901709293,2.85368524883783
90,0.75,11,0.836337983514174,2.850586672073889
91,0.75,12,0.8360126679646297,2.853418360886321
92,0.75,13,0.8359515605284918,2.8539499532888764
93,0.75,14,0.8359939890582273,2.853580864953471
94,0.75,15,0.8359879592865511,2.8536333212104963
95,0.75,16,0.8360458929146356,2.8531292852494565
96,0.75,17,0.8361071546758022,2.8525961968796394
97,0.75,18,0.8361858127712586,2.8519115827588646
98,0.75,19,0.836519132676407,2.8490086505915175
99,0.75,20,0.8365496188627173,2.8487429942503293
100,0.75,21,0.8365029611758219,2.8491495588411904
101,0.75,22,0.8369693298369651,2.845083115244389
102,0.75,23,0.8369726607672157,2.8450540507076045
103,0.75,24,0.8367448995483087,2.8470407322542495
104,0.75,25,0.8368957810189929,2.8457248009621674
105,0.75,26,0.8369081439760658,2.8456169489382495
106,0.75,27,0.8370008539936045,2.8448080345441125
107,0.75,28,0.8369755981423876,2.845028419948939
108,0.75,29,0.8370633157567229,2.844262912817439
