mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__max_features,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.030042576789855956,0.0012661065404280887,0.005881905555725098,0.0003354082408857519,False,21,10,"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 10}",-4.483833333333339,-3.7440166666666705,-24.021233333333328,-67.07383333333338,-1.9848000000000021,-5.9723000000000015,-11.430959999999986,-6.168600000000003,-15.555720000000008,-11.919800000000006,-15.235509666666673,18.388099332401598,404,-2.68212707775144e-29,-2.734717804766174e-29,-2.8924899858103764e-29,-2.813603895288275e-29,-2.678907237321967e-29,-2.8592183013724837e-29,-2.781942131065119e-29,-2.9622531951156364e-29,-2.8592183013724837e-29,-2.781942131065119e-29,-2.8046420060929074e-29,8.67958041869358e-31
0.04883377552032471,0.003108538167997285,0.007063221931457519,0.0003850703932948582,False,21,20,"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 20}",-4.267441666666675,-3.6703333333333386,-22.628229166666642,-65.89371666666666,-2.0881549999999973,-6.096510000000005,-10.98444000000001,-6.00695000000001,-15.644974999999988,-11.914995000000006,-14.919574583333334,18.013232756911577,401,-6.836794511915436e-29,-5.99534287967969e-29,-7.07345278348174e-29,-5.99534287967969e-29,-5.486608091822874e-29,-6.903337880791221e-29,-6.5169570292544e-29,-6.542715752690188e-29,-6.800302987048069e-29,-6.594233199561763e-29,-6.474508799592506e-29,4.728590493239853e-30
0.06807782649993896,0.0038161510326712917,0.008092856407165528,0.0006258813254653812,False,21,30,"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 30}",-4.029403703703697,-3.6746833333333377,-22.949701851851795,-66.72990185185178,-2.0430266666666532,-5.94143555555557,-10.995668888888915,-6.46224666666663,-15.893704444444447,-12.546886666666708,-15.126665962962955,18.257387445124035,402,-1.7749370367472766e-28,-1.5987581012479172e-28,-1.8301573001127474e-28,-1.817009618359064e-28,-1.7412897042592783e-28,-1.6871963850441232e-28,-1.7000757467620173e-28,-1.7490173212900148e-28,-1.6794687680133867e-28,-1.6279513211418105e-28,-1.7205861302977637e-28,7.221065493684046e-30
0.08887021541595459,0.005285383555800622,0.009578371047973632,0.00040574110216937413,False,21,40,"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 40}",-4.074706249999978,-3.537848958333322,-22.89781770833335,-67.68612708333332,-2.03259499999998,-5.97888125000001,-11.2631525,-6.54107374999995,-15.89241499999994,-12.948123749999983,-15.285274124999983,18.515374388630114,410,-4.459693650849454e-28,-4.251960279141254e-28,-4.407102923834719e-28,-4.167815115917679e-28,-4.075030047541684e-28,-4.433076303299139e-28,-4.404741707519772e-28,-4.739605112185018e-28,-4.443379792673455e-28,-4.415045196894087e-28,-4.379745012985626e-28,1.7306025252857532e-29
0.11003527641296387,0.005266118537248578,0.011066603660583495,0.00034638041715613464,False,21,50,"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 50}",-4.126513999999964,-3.559230666666656,-22.590665333333387,-67.52005866666656,-1.9837639999999657,-5.957070400000015,-11.38727840000001,-6.3999983999999435,-15.872635199999959,-12.8822984,-15.227951346666647,18.460861186887566,403,-5.974306588873796e-28,-6.618542994804289e-28,-6.271444196507044e-28,-5.7113529538001255e-28,-5.957992730697797e-28,-6.532412263315872e-28,-6.555595114408082e-28,-6.601960816592501e-28,-6.545291625033766e-28,-6.627719540028288e-28,-6.339661882406155e-28,3.2158943938391075e-29
0.1303046464920044,0.004128349407090429,0.011994600296020508,0.00020968718172712512,False,21,60,"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 60}",-4.267749999999974,-3.57588194444445,-22.47186574074082,-67.76548935185183,-2.0285744444444176,-5.932476666666672,-11.389229444444428,-6.227644999999943,-15.932538333333307,-12.846931666666674,-15.243838259259253,18.52322273314481,405,-9.024568755728375e-28,-9.973831378344325e-28,-9.737173106778022e-28,-9.027198292079111e-28,-8.997522096120798e-28,-1.0625473417262608e-27,-1.029576175728452e-27,-9.986657076055062e-28,-1.0239092565725786e-27,-1.0347279204156097e-27,-9.82545576495347e-28,5.765860944125902e-29
0.14423799514770508,0.005335787041430281,0.013484525680541991,0.0007502469898399272,False,21,70,"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 70}",-4.266467346938759,-3.5805853741496776,-22.86679795918376,-67.77772755102045,-1.9665020408162994,-5.861953469387759,-11.361930612244814,-6.146937959183633,-16.008823673469365,-12.95739836734692,-15.27951243537414,18.553661858583883,409,-1.2913653018467963e-27,-1.3439560288615305e-27,-1.3944431267956753e-27,-1.3281788107571103e-27,-1.2670716058064186e-27,-1.4782931379798814e-27,-1.3979259208602224e-27,-1.4048807761878852e-27,-1.4491857804974408e-27,-1.3925165889387068e-27,-1.3747817078531668e-27,6.330489987528515e-29
0.168464732170105,0.008341278835185288,0.01471090316772461,0.0003987272570762534,False,21,80,"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 80}",-4.16791041666666,-3.533972395833364,-22.911083854166787,-67.66978802083345,-1.977128124999976,-5.813600624999987,-11.387609687499875,-6.078255937499972,-16.118220312500007,-12.949261562499931,-15.260683093750004,18.53888930318368,407,-1.7533748386712355e-27,-1.6736998872439133e-27,-1.8588192463357776e-27,-1.7231351706377636e-27,-1.6385123977504838e-27,-1.848445993752157e-27,-1.752881129805383e-27,-1.78971610431856e-27,-1.8110958447702642e-27,-1.729183104244458e-27,-1.7578863717529998e-27,6.756279299112468e-29
0.19036190509796141,0.003841744688274965,0.016056275367736815,0.0005392337249085387,False,21,90,"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 90}",-4.0420401234567915,-3.514269341563803,-23.01234567901243,-67.79709917695482,-1.9777523456789985,-5.835537283950613,-11.410982962962848,-6.098562716049374,-16.08147259259265,-12.949928641975195,-15.27199908641975,18.58506319215308,408,-2.186459475637571e-27,-2.0289502482284424e-27,-2.3168844786341117e-27,-2.327928531307206e-27,-2.1227763983433005e-27,-2.2824804836451872e-27,-2.1794455899020344e-27,-2.2788742623641767e-27,-2.2211747218680114e-27,-2.1227763983433005e-27,-2.206775058827334e-27,9.210431097409862e-29
0.21066679954528808,0.007451022165717402,0.01714446544647217,0.00045953996373402376,False,21,100,"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 100}",-4.004785833333333,-3.4599638333333687,-23.241939833333415,-67.61206083333342,-1.9713763999999991,-5.821161199999983,-11.456644999999899,-6.05136420000005,-16.075054200000032,-12.872580599999845,-15.256693193333337,18.551759995997234,406,-2.3778897219712034e-27,-2.2403649708276735e-27,-2.5348730421101847e-27,-2.742080506548237e-27,-2.5346583860815532e-27,-2.487004747725345e-27,-2.3450741815941522e-27,-2.515081756270354e-27,-2.4138499731677067e-27,-2.3252399645485955e-27,-2.4516117250845005e-27,1.3501428205928293e-28
