GEOID,fafood,fitness,park
6037101110,0.005545912616317061,0.023879316032582892,0.003952332218080174
6037101122,0.004868254903262554,0.02411606732052786,0.003971534067117
6037101210,0.006279293609961871,0.02207271618016764,0.004129808631799215
6037101220,0.007431750845107398,0.025110146468228525,0.004292213363904011
6037101300,0.009209065408022696,0.03007312724740604,0.004589507252307196
6037101400,0.006557121111725511,0.02501479817370309,0.004479275960757536
6037102103,0.005657591428437025,0.018306962005834527,0.003987695150816899
6037102104,0.007022380572230127,0.03015705024163858,0.004816506966957597
6037102105,0.0072109792485929285,0.03272246545715665,0.004539332552603002
6037102107,0.0049305893396272985,0.013478494775991261,0.0037414298264310244
6037103101,0.004133550519963048,0.013045937854493532,0.0038701794552653793
6037103102,0.004253385875658677,0.018254363829893507,0.003940455801532406
6037103200,0.0042941684443662115,0.013042334277817858,0.003706916371249378
6037103300,0.0043945706551228635,0.01275355791923366,0.0032033909183504915
6037103400,0.0042321620175153445,0.02016933412704882,0.0038138326638359646
6037104103,0.004177818667013384,0.014882695683945572,0.0030992755024124193
6037104105,0.004107209536629678,0.015421645628359857,0.003128354393245082
6037104108,0.004161714874979659,0.0147720205576711,0.0032879380184150293
6037104124,0.004128013947489486,0.012882948767349245,0.0033987281555773346
6037104201,0.004244867971756136,0.015277388561396796,0.003195071584935591
6037104203,0.0040740604204675965,0.01570113050554013,0.0032237818928705754
6037104204,0.00420849400251587,0.015012070756713998,0.0031136564380778646
6037104310,0.004160962449364447,0.016117920670823856,0.0027644731203723305
6037104320,0.00409777829982674,0.01578637651520843,0.0030055983700575297
6037104401,0.004323560601301897,0.01890160868436608,0.0029436113495531564
6037104403,0.004451973380492854,0.01668145081771466,0.002707455758639276
6037104404,0.004466686248065028,0.01889913879600447,0.0028798678563793072
6037104500,0.004370940478041211,0.01881597614402695,0.002960977718127556
6037104610,0.004083107505207641,0.016008441240407203,0.0029196790415671166
6037104620,0.0042832308845190716,0.018931305991821697,0.003005060997040484
6037104701,0.004133769520194044,0.015970216734994398,0.0030056682842635385
6037104703,0.004195371416636247,0.015836898266748136,0.0035373874623306507
6037104704,0.004250925052928317,0.016019835404614283,0.003088271122098496
6037104810,0.004291818548809053,0.015913223811705474,0.003082575468117043
6037104821,0.004221672068480713,0.016211759421813982,0.0029642340067208995
6037104822,0.004462051278334133,0.01643465781827623,0.0030060036668436737
6037106010,0.004122594294122368,0.015938697608105432,0.0028265831983652506
6037106020,0.004077285213479393,0.015177049203535844,0.003177161805027515
6037106111,0.003968553907570994,0.014849276698909675,0.0032150812246473106
6037106112,0.003908288545576591,0.015431763325118792,0.0032957510072282167
6037106113,0.00409959049046975,0.015133007866691913,0.0031307074631146087
6037106114,0.004205604200353545,0.015619026411485055,0.0030297398938954143
6037106403,0.004339610664023361,0.016187784384801326,0.0029972057469664463
6037106405,0.004280649195184178,0.016579312123992815,0.0029810773526611485
6037106406,0.004560821172225617,0.01923980508674483,0.002997555375124662
6037106407,0.00423444500498356,0.016304553756625963,0.003015168631892285
6037106408,0.00416729102236497,0.01648755939491875,0.0030902416333579968
6037106510,0.005052725217811172,0.03731869292712315,0.003126691855182131
6037106520,0.004702915402669154,0.028393563392194305,0.0030270379497583113
6037106603,0.005734827717549332,0.04011583001323839,0.0026538291704958205
6037106604,0.0049107070428832215,0.03272518802061706,0.0028214176406861275
6037106641,0.005749748400897647,0.04020118074699184,0.002979411572613707
6037106642,0.0058919595450431135,0.041108493412816076,0.0027265632133098936
6037106643,0.005687943523735043,0.04475217637348521,0.002800595727335211
6037106645,0.005703652786984612,0.03993836729088846,0.002920514535403387
6037106646,0.0056843002867988145,0.044194031862904624,0.002974864961234248
6037106648,0.00465727438260927,0.027026234951975054,0.0028890863785263976
6037106649,0.004663103150416876,0.036768790824023956,0.0030144432295415666
6037107010,0.0044135403091861225,0.018991178835361642,0.003007381777675594
6037107020,0.004587256728875239,0.021803365330490675,0.0028773672043650327
6037108101,0.00633353119323914,0.04604381819356888,0.002731559272011879
6037108102,0.007059369748568908,0.04216210784073722,0.002798001240914431
6037108103,0.00662931899300643,0.04596721093825539,0.0027275517114534846
6037108104,0.0066211048194495395,0.045981501715723995,0.002750954202082569
6037108201,0.007078183955048033,0.04554914608949357,0.0027800815075629606
6037108202,0.007521833726863523,0.04998545308195049,0.0027297083668276594
6037109100,0.004642272885144006,0.04107962538830366,0.002891276471528103
6037109200,0.005381864963047368,0.03924182334979572,0.002955456178484922
6037109300,0.005731532848978564,0.03968610649451014,0.002795101079518764
6037109400,0.004709854978110195,0.03676068114366859,0.002872531384627739
6037109601,0.004539769198312397,0.036414585143975414,0.002902051065690219
6037109603,0.00545029302608768,0.04149095567538611,0.002807761588590404
6037109604,0.005168658580377637,0.041753972653878924,0.0028351712123423495
6037109700,0.006001953080402578,0.036876685853541605,0.0028068099787365865
6037109800,0.006198168942327452,0.040564891658378704,0.0029183103873071693
6037111100,0.006013710528669885,0.044917186997621344,0.002868827734631613
6037111201,0.006091073006514775,0.04137589359286674,0.0027733708518203294
6037111202,0.006328018508998067,0.041990661757562824,0.002779341428329648
6037111204,0.007615034518242904,0.04223088676729729,0.0027207881198961846
6037111205,0.006720407297141422,0.04633028375448319,0.0027545498944911333
6037111206,0.006538247917517528,0.04603069242703453,0.002752538630268191
6037111301,0.006573246125595843,0.04206637501128515,0.0027248319227014374
6037111302,0.006449635728975361,0.04525772496474318,0.0027314612560182805
6037111400,0.005992334995275616,0.04155599977379816,0.002805134977899308
6037113101,0.008629607752524275,0.04295264368974591,0.002692252811008189
6037113102,0.00796115699200885,0.04616669411650774,0.0028131387381067022
6037113211,0.009834939846181216,0.042944272122427324,0.0027714649921352216
6037113212,0.00951945921805407,0.04309583524496898,0.002637354111384894
6037113213,0.009743394143792612,0.047029659609039265,0.002783826836414528
6037113231,0.008827817499675872,0.04712244975765483,0.00276698649002685
6037113232,0.0096375727399333,0.04694296548629045,0.0026863143088500987
6037113233,0.00931920002851621,0.05112477419445431,0.0026455237528240022
6037113234,0.00988688588602271,0.04695859435696804,0.0025719886623142927
6037113237,0.009339033183911096,0.05042534249793896,0.0027329184692451783
6037113301,0.00829729712349215,0.0427987967672775,0.002751857493686492
6037113303,0.009139535987339053,0.046472288848988574,0.0026942410231418357
6037113321,0.009583700228647773,0.042745778111775524,0.002655805108625682
